date,username,phenotype,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
20191030,nmccarty3,wt,O2,R60,0.0,10417.76489197501,60.0,0.08017469414946475
20191030,nmccarty3,wt,O2,R22,0.0,13757.613718273496,22.0,0.3252613148558538
20191030,nmccarty3,wt,O2,R124,0.0,10400.734315266916,124.0,0.07892494701683973
20191030,nmccarty3,wt,O2,R260,0.0,9624.456180189756,260.0,0.021959678602228073
20191030,nmccarty3,wt,O2,R1740,0.0,9552.127402817674,1740.0,0.016652008540528073
20191030,nmccarty3,wt,O2,R1220,0.0,9384.983410719577,1220.0,0.004386556322411115
20191030,nmccarty3,wt,O2,delta,0.0,22952.42492070367,0.0,1.0
20191030,nmccarty3,wt,O2,R60,0.1,10353.3378861172,60.0,0.12518844112687993
20191030,nmccarty3,wt,O2,R1220,0.1,9445.871995195797,1220.0,0.052216802844977615
20191030,nmccarty3,wt,O2,R260,0.1,9754.637031816477,260.0,0.0770453840531434
20191030,nmccarty3,wt,O2,R124,0.1,10683.719015287288,124.0,0.15175522726634283
20191030,nmccarty3,wt,O2,R22,0.1,13682.699554765892,22.0,0.3929108732588279
20191030,nmccarty3,wt,O2,delta,0.1,21232.38170851721,0.0,1.0
20191030,nmccarty3,wt,O2,R1740,0.1,9772.09484735547,1740.0,0.0784492113632918
20191030,nmccarty3,wt,O2,delta,5.0,21475.557420112273,0.0,1.0
20191030,nmccarty3,wt,O2,R1220,5.0,9443.74993360206,1220.0,0.05157128446377994
20191030,nmccarty3,wt,O2,R1740,5.0,10192.037067076202,1740.0,0.11055635430044891
20191030,nmccarty3,wt,O2,R260,5.0,10183.321536851956,260.0,0.1098693370634239
20191030,nmccarty3,wt,O2,R124,5.0,11052.172256338836,124.0,0.17835804691018303
20191030,nmccarty3,wt,O2,R60,5.0,11136.434251587058,60.0,0.18500014918878005
20191030,nmccarty3,wt,O2,R22,5.0,14886.715200621293,22.0,0.480622743498104
20191030,nmccarty3,wt,O2,R124,10.0,8084.749516152909,124.0,-0.05063142634474164
20191030,nmccarty3,wt,O2,R22,10.0,16284.09375390469,22.0,0.5737538050728702
20191030,nmccarty3,wt,O2,R1220,10.0,9565.58165809252,1220.0,0.06213487457216261
20191030,nmccarty3,wt,O2,R260,10.0,10410.224238543964,260.0,0.12645493941736652
20191030,nmccarty3,wt,O2,R1740,10.0,9951.980943559782,1740.0,0.09155942369223087
20191030,nmccarty3,wt,O2,R60,10.0,12027.130497729175,60.0,0.2495833701244986
20191030,nmccarty3,wt,O2,delta,10.0,21881.50238303647,0.0,1.0
20191030,nmccarty3,wt,O2,R124,25.0,12918.888365876914,124.0,0.33856416176905146
20191030,nmccarty3,wt,O2,R22,25.0,17848.485134014507,22.0,0.7240537177375562
20191030,nmccarty3,wt,O2,R1220,25.0,10043.986498608087,1220.0,0.11374969997988137
20191030,nmccarty3,wt,O2,R260,25.0,11555.239157054055,260.0,0.231928152226931
20191030,nmccarty3,wt,O2,R60,25.0,13690.606927797098,60.0,0.3989117844569933
20191030,nmccarty3,wt,O2,R1740,25.0,10590.909967455453,1740.0,0.15651857035026231
20191030,nmccarty3,wt,O2,delta,25.0,21377.254928575858,0.0,1.0
20191030,nmccarty3,wt,O2,R260,50.0,13463.179561638437,260.0,0.3830570961011554
20191030,nmccarty3,wt,O2,R60,50.0,16529.32019155489,60.0,0.6238005131050788
20191030,nmccarty3,wt,O2,R1740,50.0,10962.38987266283,1740.0,0.18670320122172473
20191030,nmccarty3,wt,O2,delta,50.0,21320.647597626565,0.0,1.0
20191030,nmccarty3,wt,O2,R124,50.0,15319.583919308821,124.0,0.5288159448786558
20191030,nmccarty3,wt,O2,R22,50.0,20166.50053611081,22.0,0.9093801162923465
20191030,nmccarty3,wt,O2,R1220,50.0,10537.339260729797,1220.0,0.15332960585628475
20191030,nmccarty3,wt,O2,R22,75.0,20463.76889152565,22.0,0.9668310195401835
20191030,nmccarty3,wt,O2,R124,75.0,16920.287416627114,124.0,0.6766519313378022
20191030,nmccarty3,wt,O2,R1220,75.0,11460.457791671493,1220.0,0.2295412596627553
20191030,nmccarty3,wt,O2,R260,75.0,14590.758433516152,260.0,0.4858845741359376
20191030,nmccarty3,wt,O2,delta,75.0,20868.807271543785,0.0,1.0
20191030,nmccarty3,wt,O2,R1740,75.0,11871.227266878268,1740.0,0.2631795649907902
20191030,nmccarty3,wt,O2,R60,75.0,17938.716095593274,60.0,0.7600520302391286
20191030,nmccarty3,wt,O2,R1740,100.0,12349.917010939365,1740.0,0.3068752949245139
20191030,nmccarty3,wt,O2,delta,100.0,20681.326946048957,0.0,1.0
20191030,nmccarty3,wt,O2,R22,100.0,20692.918024034992,22.0,1.0009643100715429
20191030,nmccarty3,wt,O2,R124,100.0,17703.309700870064,124.0,0.752246337552567
20191030,nmccarty3,wt,O2,R260,100.0,19058.725399600415,260.0,0.865009016829469
20191030,nmccarty3,wt,O2,R1220,100.0,11599.728080974788,1220.0,0.24446395220071448
20191030,nmccarty3,wt,O2,R60,100.0,18268.558730137018,60.0,0.7992717593906905
20191030,nmccarty3,wt,O2,delta,250.0,20553.392070838963,0.0,1.0
20191030,nmccarty3,wt,O2,R22,250.0,20814.79369428167,22.0,1.0217759155489057
20191030,nmccarty3,wt,O2,R124,250.0,20262.218338322207,124.0,0.9757439356120364
20191030,nmccarty3,wt,O2,R1740,250.0,15689.710957988344,1740.0,0.594833774268983
20191030,nmccarty3,wt,O2,R1220,250.0,14980.671390489073,1220.0,0.5357676309935541
20191030,nmccarty3,wt,O2,R60,250.0,19860.968881951223,60.0,0.9423180748201126
20191030,nmccarty3,wt,O2,R260,250.0,18711.666469866348,260.0,0.8465760823408691
20191030,nmccarty3,wt,O2,R260,500.0,18446.209587958045,260.0,0.8345442805183829
