date,username,phenotype,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
20191105,mrazomej,wt,O3,delta,0.0,32146.78906267538,0.0,1.0
20191105,mrazomej,wt,O3,R1220,0.0,16310.86297188819,1220.0,0.32884415108046205
20191105,mrazomej,wt,O3,R260,0.0,25955.75922955431,260.0,0.7376127004184567
20191105,mrazomej,wt,O3,R1740,0.0,14870.99071464891,1740.0,0.2678197006250304
20191105,mrazomej,wt,O3,R22,0.0,28039.928459117884,22.0,0.8259436487027819
20191105,mrazomej,wt,O3,R60,0.0,29837.93118792872,60.0,0.9021463311917285
20191105,mrazomej,wt,O3,R124,0.0,28606.94808045721,124.0,0.8499749894107577
20191105,mrazomej,wt,O3,R1740,0.1,14876.355017538537,1740.0,0.268047049707055
20191105,mrazomej,wt,O3,R124,0.1,29152.634651657092,124.0,0.8731021959813109
20191105,mrazomej,wt,O3,delta,0.1,32146.78906267538,0.0,1.0
20191105,mrazomej,wt,O3,R22,0.1,30760.63429580673,22.0,0.9412521961798732
20191105,mrazomej,wt,O3,R1220,0.1,16140.033964650762,1220.0,0.3216041016690659
20191105,mrazomej,wt,O3,R60,0.1,30873.978431156254,60.0,0.9460559303564817
20191105,mrazomej,wt,O3,R260,0.1,25869.647536439308,260.0,0.7339631275318972
20191105,mrazomej,wt,O3,R124,5.0,28985.686493970174,124.0,0.8541108239909082
20191105,mrazomej,wt,O3,R22,5.0,29062.656237048395,22.0,0.8573097641919001
20191105,mrazomej,wt,O3,R60,5.0,30146.629208424307,60.0,0.9023607748390177
20191105,mrazomej,wt,O3,R1740,5.0,19497.96882720844,1740.0,0.45979170265748454
20191105,mrazomej,wt,O3,R260,5.0,28209.337518739576,260.0,0.8218449770809085
20191105,mrazomej,wt,O3,R1220,5.0,20759.818330848542,1220.0,0.5122354415003383
20191105,mrazomej,wt,O3,delta,5.0,32495.927914498126,0.0,1.0
20191105,mrazomej,wt,O3,R60,10.0,31670.150510812236,60.0,0.998270445885323
20191105,mrazomej,wt,O3,R260,10.0,30277.20064391822,260.0,0.9385848398766807
20191105,mrazomej,wt,O3,R1740,10.0,22433.06062049912,1740.0,0.602476368178155
20191105,mrazomej,wt,O3,delta,10.0,31710.515053202518,0.0,1.0
20191105,mrazomej,wt,O3,R124,10.0,28732.51544157121,124.0,0.8723976248261927
20191105,mrazomej,wt,O3,R1220,10.0,25147.687815091173,1220.0,0.7187936693585961
20191105,mrazomej,wt,O3,R22,10.0,28700.067241073735,22.0,0.8710072729143179
20191105,mrazomej,wt,O3,R60,25.0,30701.856683628834,60.0,0.9708214378382768
20191105,mrazomej,wt,O3,R260,25.0,30262.620211339257,260.0,0.9518213015723893
20191105,mrazomej,wt,O3,R1740,25.0,27291.566915685275,1740.0,0.8233018797302438
20191105,mrazomej,wt,O3,delta,25.0,31376.393357000357,0.0,1.0
20191105,mrazomej,wt,O3,R124,25.0,28789.825751064756,124.0,0.8881123493285256
20191105,mrazomej,wt,O3,R1220,25.0,27651.09845237983,1220.0,0.8388542043208503
20191105,mrazomej,wt,O3,R22,25.0,28734.397131940546,22.0,0.885714662927621
20191105,mrazomej,wt,O3,R124,50.0,29424.8107581507,124.0,0.9015340800969941
20191105,mrazomej,wt,O3,R1220,50.0,31055.488299352695,1220.0,0.9711891753705864
20191105,mrazomej,wt,O3,R22,50.0,28870.623948406625,22.0,0.8778617512295482
20191105,mrazomej,wt,O3,R60,50.0,31236.338965771185,60.0,0.9789142896751514
20191105,mrazomej,wt,O3,R1740,50.0,29712.130447419964,1740.0,0.9138070646842948
20191105,mrazomej,wt,O3,R260,50.0,31161.81448885649,260.0,0.9757309444652325
20191105,mrazomej,wt,O3,delta,50.0,31729.971113311396,0.0,1.0
20191105,mrazomej,wt,O3,R60,75.0,30543.25702052765,60.0,1.0111146684838903
20191105,mrazomej,wt,O3,delta,75.0,30298.91034435873,0.0,1.0
20191105,mrazomej,wt,O3,R1740,75.0,29482.10560559986,1740.0,0.9628457647563847
20191105,mrazomej,wt,O3,R260,75.0,30544.109424181006,260.0,1.0111534420173391
20191105,mrazomej,wt,O3,R22,75.0,29708.363893200512,22.0,0.9731376414368577
20191105,mrazomej,wt,O3,R1220,75.0,31238.68401556495,1220.0,1.0427477589182543
20191105,mrazomej,wt,O3,R124,75.0,28241.430702049212,124.0,0.9064108237723086
20191105,mrazomej,wt,O3,R260,100.0,29689.079050673357,260.0,1.003376964259107
20191105,mrazomej,wt,O3,R60,100.0,29690.61626937695,60.0,1.0034488621434179
20191105,mrazomej,wt,O3,R1220,100.0,30858.912773484983,1220.0,1.0580917354682506
20191105,mrazomej,wt,O3,R22,100.0,27680.75931846862,22.0,0.9094450211806591
20191105,mrazomej,wt,O3,delta,100.0,29616.877585077666,0.0,1.0
20191105,mrazomej,wt,O3,R1740,100.0,29996.065795005044,1740.0,1.0177351667564485
20191105,mrazomej,wt,O3,R124,100.0,27110.27137213055,124.0,0.8827624962604163
20191105,mrazomej,wt,O3,R260,250.0,30437.193968344774,260.0,1.0218061209922216
20191105,mrazomej,wt,O3,R60,250.0,29305.09075277828,60.0,0.9700886567700121
20191105,mrazomej,wt,O3,R1220,250.0,29862.19917213072,1220.0,0.9955388404189774
20191105,mrazomej,wt,O3,R1740,250.0,29635.42386664014,1740.0,0.9851791456606501
20191105,mrazomej,wt,O3,R124,250.0,26964.3670377787,124.0,0.8631582167535575
20191105,mrazomej,wt,O3,R22,250.0,29717.061796906386,22.0,0.9889085818813635
20191105,mrazomej,wt,O3,delta,250.0,29959.85463886302,0.0,1.0
20191105,mrazomej,wt,O3,R22,500.0,27552.3977036538,22.0,0.9104667057129129
20191105,mrazomej,wt,O3,delta,500.0,29464.56124958047,0.0,1.0
20191105,mrazomej,wt,O3,R124,500.0,28415.370770862475,124.0,0.9508737209772795
20191105,mrazomej,wt,O3,R1740,500.0,34548.759696345456,1740.0,1.2380575849371505
20191105,mrazomej,wt,O3,R260,500.0,33109.49854834734,260.0,1.1706670146095286
20191105,mrazomej,wt,O3,R60,500.0,29537.15625286797,60.0,1.0033991181386956
20191105,mrazomej,wt,O3,R1220,500.0,32473.352563227334,1220.0,1.1408807309955418
20191105,mrazomej,wt,O3,R22,1000.0,31469.389502983973,22.0,0.8989806213134306
20191105,mrazomej,wt,O3,R1220,1000.0,33274.71424520852,1220.0,0.9693081066509733
20191105,mrazomej,wt,O3,R1740,1000.0,34568.54073060141,1740.0,1.019709877065238
20191105,mrazomej,wt,O3,R124,1000.0,31203.83782785145,124.0,0.8886358998888352
20191105,mrazomej,wt,O3,delta,1000.0,34062.58308742256,0.0,1.0
20191105,mrazomej,wt,O3,R260,1000.0,34430.73743118274,260.0,1.0143416686245839
20191105,mrazomej,wt,O3,R60,1000.0,32603.886409193467,60.0,0.9431756144195584
