date,username,phenotype,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
20191107,nmccarty3,wt,O1,R1740,0.0,9360.332748534755,1740.0,0.03620175158048806
20191107,nmccarty3,wt,O1,R124,0.0,10578.46440224992,124.0,0.09309584973075621
20191107,nmccarty3,wt,O1,R260,0.0,10058.75411991089,260.0,0.06882224373511533
20191107,nmccarty3,wt,O1,delta,0.0,29995.744722096482,0.0,1.0
20191107,nmccarty3,wt,O1,R1220,0.0,9447.202431680931,1220.0,0.04025908993478465
20191107,nmccarty3,wt,O1,R22,0.0,33426.4798532771,22.0,1.160236030880291
20191107,nmccarty3,wt,O1,R60,0.0,10796.426529631606,60.0,0.10327599621202858
20191107,nmccarty3,wt,O1,R1220,0.1,9638.315025213045,1220.0,0.040726887101045245
20191107,nmccarty3,wt,O1,R60,0.1,11479.811400914576,60.0,0.10588704286579742
20191107,nmccarty3,wt,O1,R124,0.1,11123.235489536206,124.0,0.09326983534155145
20191107,nmccarty3,wt,O1,delta,0.1,36748.40922279202,0.0,1.0
20191107,nmccarty3,wt,O1,R260,0.1,10245.331079717733,260.0,0.06220575677743147
20191107,nmccarty3,wt,O1,R1740,0.1,9323.850739490616,1740.0,0.029599772157732334
20191107,nmccarty3,wt,O1,R22,0.1,38604.51787895623,22.0,1.065677201838581
20191107,nmccarty3,wt,O1,R1220,5.0,9797.24814449718,1220.0,0.040564773040574584
20191107,nmccarty3,wt,O1,R22,5.0,41093.612257870605,22.0,1.294223784266544
20191107,nmccarty3,wt,O1,R60,5.0,11925.651558483314,60.0,0.12582362642692152
20191107,nmccarty3,wt,O1,delta,5.0,33748.604882846324,0.0,1.0
20191107,nmccarty3,wt,O1,R260,5.0,10231.71720817747,260.0,0.05796858566265985
20191107,nmccarty3,wt,O1,R124,5.0,11152.09637970346,124.0,0.09483681859695127
20191107,nmccarty3,wt,O1,R1740,5.0,9197.621855467392,1740.0,0.016545148975395833
20191107,nmccarty3,wt,O1,delta,10.0,35810.13066352391,0.0,1.0
