date,username,phenotype,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
csv\20191101,nmccarty3,wt,O1,delta,0.0,24796.39733605554,0.0,1.0
csv\20191101,nmccarty3,wt,O1,R1220,0.0,9039.952262864794,1220.0,0.0354419349460832
csv\20191101,nmccarty3,wt,O1,R124,0.0,9518.984267735408,124.0,0.06476670849561142
csv\20191101,nmccarty3,wt,O1,R1740,0.0,9140.519105154623,1740.0,0.04159830831311302
csv\20191101,nmccarty3,wt,O1,R22,0.0,28564.13448453139,22.0,1.2306485528102493
csv\20191101,nmccarty3,wt,O1,R260,0.0,9504.940508205429,260.0,0.06390699544134086
csv\20191101,nmccarty3,wt,O1,R60,0.0,9289.256914767118,60.0,0.050703550845534975
csv\20191101,nmccarty3,wt,O1,delta,0.1,29211.78166942621,0.0,1.0
csv\20191101,nmccarty3,wt,O1,R1220,0.1,9416.382349398435,1220.0,0.05024739589843119
csv\20191101,nmccarty3,wt,O1,R124,0.1,9962.194652543496,124.0,0.07643462495514565
csv\20191101,nmccarty3,wt,O1,R1740,0.1,9109.961426856953,1740.0,0.03554579456015776
csv\20191101,nmccarty3,wt,O1,R22,0.1,27992.541390276212,22.0,0.9415027395291458
csv\20191101,nmccarty3,wt,O1,R260,0.1,10090.717746804316,260.0,0.08260096398615002
csv\20191101,nmccarty3,wt,O1,R60,0.1,10063.824838845874,60.0,0.08131068390882154
csv\20191101,nmccarty3,wt,O1,delta,5.0,26855.512462970575,0.0,1.0
csv\20191101,nmccarty3,wt,O1,R1220,5.0,9401.736660458366,1220.0,0.03724507528331684
csv\20191101,nmccarty3,wt,O1,R124,5.0,10086.916686445375,124.0,0.07503978811797749
csv\20191101,nmccarty3,wt,O1,R1740,5.0,9056.637736768831,1740.0,0.01820932668336607
csv\20191101,nmccarty3,wt,O1,R22,5.0,31591.28185950726,22.0,1.2612263020006245
csv\20191101,nmccarty3,wt,O1,R260,5.0,9983.696294212752,260.0,0.06934612377407996
csv\20191101,nmccarty3,wt,O1,R60,5.0,10451.858922260375,60.0,0.09517009910303306
csv\20191101,nmccarty3,wt,O1,delta,10.0,26943.867370616117,0.0,1.0
csv\20191101,nmccarty3,wt,O1,R1220,10.0,9530.677870139396,1220.0,0.05024758613736876
csv\20191101,nmccarty3,wt,O1,R124,10.0,10350.919487253761,124.0,0.09498530956153692
csv\20191101,nmccarty3,wt,O1,R1740,10.0,9087.881204840503,1740.0,0.02609651365828998
csv\20191101,nmccarty3,wt,O1,R22,10.0,31250.58357173477,22.0,1.2348974671022652
csv\20191101,nmccarty3,wt,O1,R260,10.0,10119.219863670767,260.0,0.08234791899141838
csv\20191101,nmccarty3,wt,O1,R60,10.0,10636.94646015975,60.0,0.11058582938243748
csv\20191101,nmccarty3,wt,O1,delta,25.0,27896.58164102289,0.0,1.0
csv\20191101,nmccarty3,wt,O1,R1220,25.0,9636.211833783382,1220.0,0.051224726156413
csv\20191101,nmccarty3,wt,O1,R124,25.0,11593.336466079207,124.0,0.15291332712967068
csv\20191101,nmccarty3,wt,O1,R1740,25.0,9340.336737858108,1740.0,0.03585159964674585
csv\20191101,nmccarty3,wt,O1,R22,25.0,29862.87853978183,22.0,1.1021651750907138
csv\20191101,nmccarty3,wt,O1,R260,25.0,10696.820661333742,260.0,0.10633201266936573
csv\20191101,nmccarty3,wt,O1,R60,25.0,12490.551875340108,60.0,0.19953099175553762
csv\20191101,nmccarty3,wt,O1,delta,50.0,27563.099623926228,0.0,1.0
csv\20191101,nmccarty3,wt,O1,R1220,50.0,10054.2931968912,1220.0,0.07389926911633854
csv\20191101,nmccarty3,wt,O1,R124,50.0,13048.536877887289,124.0,0.2322750712002869
csv\20191101,nmccarty3,wt,O1,R1740,50.0,9558.515190480717,1740.0,0.047675872564084565
csv\20191101,nmccarty3,wt,O1,R22,50.0,30224.001819671554,22.0,1.140744229400164
csv\20191101,nmccarty3,wt,O1,R260,50.0,11543.617788300797,260.0,0.1526747469523229
csv\20191101,nmccarty3,wt,O1,R60,50.0,14323.972423204796,60.0,0.29973722492480936
csv\20191101,nmccarty3,wt,O1,delta,75.0,27435.497979776068,0.0,1.0
csv\20191101,nmccarty3,wt,O1,R1220,75.0,10793.355593937338,1220.0,0.11232685639288799
csv\20191101,nmccarty3,wt,O1,R124,75.0,15023.798637543498,124.0,0.33797392684243344
csv\20191101,nmccarty3,wt,O1,R1740,75.0,9994.274464535527,1740.0,0.06970476834148362
csv\20191101,nmccarty3,wt,O1,R22,75.0,30112.558640489307,22.0,1.142791402526658
csv\20191101,nmccarty3,wt,O1,R260,75.0,13099.100684588691,260.0,0.2353127043397718
csv\20191101,nmccarty3,wt,O1,R60,75.0,16743.464627898604,60.0,0.4296989752299354
