IPTGuM,repressors,operator,mean,sem,bohr_parameter,author,mutant
0,22,O1,0.040002747,0.003142822,-3.038427847,razo-mejia,wt
0,22,O2,0.166099205,0.005008094,-1.638427847,razo-mejia,wt
0,22,O3,0.933363263,0.028558756,2.561572153,razo-mejia,wt
0,60,O1,0.013524487,0.000875841,-4.041729956,razo-mejia,wt
0,60,O2,0.042516538,0.002418607,-2.641729956,razo-mejia,wt
0,60,O3,0.853921457,0.023157033,1.558270044,razo-mejia,wt
0,124,O1,0.007974315,0.001077034,-4.767666959,razo-mejia,wt
0,124,O2,0.026806526,0.001197494,-3.367666959,razo-mejia,wt
0,124,O3,0.785365394,0.025490471,0.832333041,razo-mejia,wt
0,260,O1,0.006817911,0.000832428,-5.508067025,razo-mejia,wt
0,260,O2,0.014971801,0.000810365,-4.108067025,razo-mejia,wt
0,260,O3,0.623594187,0.028069479,0.091932975,razo-mejia,wt
0,1220,O1,0.004854386,0.001726827,-7.053991531,razo-mejia,wt
0,1220,O2,0.006505212,0.000767406,-5.653991531,razo-mejia,wt
0,1220,O3,0.232415724,0.009821638,-1.453991531,razo-mejia,wt
0,1740,O1,0.007161181,0.002153831,-7.409025786,razo-mejia,wt
0,1740,O2,0.006375903,0.000847636,-6.009025786,razo-mejia,wt
0,1740,O3,0.181273159,0.007999791,-1.809025786,razo-mejia,wt
0.1,22,O1,0.040149201,0.002379079,-3.033923171,razo-mejia,wt
0.1,22,O2,0.166394736,0.005047092,-1.633923171,razo-mejia,wt
0.1,22,O3,0.933485313,0.017100097,2.566076829,razo-mejia,wt
0.1,60,O1,0.011235597,0.00176923,-4.03722528,razo-mejia,wt
0.1,60,O2,0.064999122,0.022391811,-2.63722528,razo-mejia,wt
0.1,60,O3,0.850404021,0.019149744,1.56277472,razo-mejia,wt
0.1,124,O1,0.006077924,0.001654286,-4.763162284,razo-mejia,wt
0.1,124,O2,0.026794416,0.001357822,-3.363162284,razo-mejia,wt
0.1,124,O3,0.75008936,0.028490168,0.836837716,razo-mejia,wt
0.1,260,O1,0.004331575,0.001280142,-5.503562349,razo-mejia,wt
