date,username,phenotype,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
csv\20191031,nmccarty3,wt,O2,R1220,10.0,10102.705714068119,1220.0,0.06750118149608256
csv\20191031,nmccarty3,wt,O2,R124,10.0,11913.742159667641,124.0,0.17390924812433617
csv\20191031,nmccarty3,wt,O2,R1740,10.0,9337.039983086499,1740.0,0.02251422923721068
csv\20191031,nmccarty3,wt,O2,R22,10.0,18005.585591968207,22.0,0.531837595402042
csv\20191031,nmccarty3,wt,O2,R260,10.0,10913.19503923706,260.0,0.1151217593831915
csv\20191031,nmccarty3,wt,O2,R60,10.0,12964.934243014219,60.0,0.23567239900714845
csv\20191031,nmccarty3,wt,O2,delta,25.0,25046.416630171116,0.0,1.0
csv\20191031,nmccarty3,wt,O2,R1220,25.0,10218.001586251154,1220.0,0.08299207104540919
csv\20191031,nmccarty3,wt,O2,R124,25.0,13865.548678070954,124.0,0.3085609935854809
csv\20191031,nmccarty3,wt,O2,R1740,25.0,9552.733271960751,1740.0,0.041851037611988204
csv\20191031,nmccarty3,wt,O2,R22,25.0,20566.072295969654,22.0,0.7229298433621796
csv\20191031,nmccarty3,wt,O2,R260,25.0,12284.974463952207,260.0,0.21081628638952513
csv\20191031,nmccarty3,wt,O2,R60,25.0,15396.330374800102,60.0,0.40322646856992705
csv\20191031,nmccarty3,wt,O2,delta,50.0,25364.534139248106,0.0,1.0
csv\20191031,nmccarty3,wt,O2,R1220,50.0,11117.115234605666,1220.0,0.1342958623821059
csv\20191031,nmccarty3,wt,O2,R124,50.0,16758.96630335706,124.0,0.47710699517265936
csv\20191031,nmccarty3,wt,O2,R1740,50.0,10186.515374347902,1740.0,0.0777505923311725
csv\20191031,nmccarty3,wt,O2,R22,50.0,22075.41897569181,22.0,0.8001462141844772
csv\20191031,nmccarty3,wt,O2,R260,50.0,14676.711484245901,260.0,0.35058466684468703
csv\20191031,nmccarty3,wt,O2,R60,50.0,18484.216187908747,60.0,0.5819369277715052
csv\20191031,nmccarty3,wt,O2,delta,75.0,24738.85349607909,0.0,1.0
csv\20191031,nmccarty3,wt,O2,R1220,75.0,10535.835113795223,1220.0,0.10075332903850664
csv\20191031,nmccarty3,wt,O2,R124,75.0,17326.924701064494,124.0,0.5307228284211556
csv\20191031,nmccarty3,wt,O2,R1740,75.0,9700.559644690025,1740.0,0.047868888230800835
csv\20191031,nmccarty3,wt,O2,R22,75.0,22501.13630632253,22.0,0.8583216835125773
csv\20191031,nmccarty3,wt,O2,R260,75.0,13596.900128423622,260.0,0.294560902183297
csv\20191031,nmccarty3,wt,O2,R60,75.0,20203.19289635494,60.0,0.712830217835901
csv\20191031,nmccarty3,wt,O2,delta,100.0,24568.329524147535,0.0,1.0
csv\20191031,nmccarty3,wt,O2,R1220,100.0,12821.41312718823,1220.0,0.2419984283980823
csv\20191031,nmccarty3,wt,O2,R124,100.0,19505.000107937543,124.0,0.6732749663546711
csv\20191031,nmccarty3,wt,O2,R1740,100.0,11528.31469607195,1740.0,0.15855775257307747
csv\20191031,nmccarty3,wt,O2,R22,100.0,23278.780457799894,22.0,0.9167883565424609
csv\20191031,nmccarty3,wt,O2,R260,100.0,17005.155292051004,260.0,0.5119657141926828
csv\20191031,nmccarty3,wt,O2,R60,100.0,20968.560771612218,60.0,0.7677151790633708
csv\20191031,nmccarty3,wt,O2,delta,250.0,24519.366865361648,0.0,1.0
csv\20191031,nmccarty3,wt,O2,R1220,250.0,15255.102988837443,1220.0,0.4084211292944219
csv\20191031,nmccarty3,wt,O2,R124,250.0,21599.731302872337,124.0,0.8135637399852123
csv\20191031,nmccarty3,wt,O2,R1740,250.0,13920.013569998735,1740.0,0.3231676540896663
csv\20191031,nmccarty3,wt,O2,R22,250.0,23483.63734625473,22.0,0.9338624517353901
csv\20191031,nmccarty3,wt,O2,R260,250.0,20383.05354861571,260.0,0.7358715605018946
csv\20191031,nmccarty3,wt,O2,R60,250.0,22395.423659879172,60.0,0.8643734742782911
csv\20191031,nmccarty3,wt,O2,delta,500.0,24333.598172643327,0.0,1.0
csv\20191031,nmccarty3,wt,O2,R1220,500.0,17631.037683850114,1220.0,0.5684893341881461
csv\20191031,nmccarty3,wt,O2,R124,500.0,22841.597642307683,124.0,0.9039450455817235
csv\20191031,nmccarty3,wt,O2,R1740,500.0,15673.356899487017,1740.0,0.44245389741438695
csv\20191031,nmccarty3,wt,O2,R22,500.0,24525.653464187424,22.0,1.0123645145561087
csv\20191031,nmccarty3,wt,O2,R260,500.0,21511.76122902289,260.0,0.8183302127015375
csv\20191031,nmccarty3,wt,O2,R60,500.0,23316.294273037318,60.0,0.9345060020292302
csv\20191031,nmccarty3,wt,O2,delta,1000.0,24847.568564615805,0.0,1.0
csv\20191031,nmccarty3,wt,O2,R1220,1000.0,18194.30858714539,1220.0,0.6145674735692802
csv\20191031,nmccarty3,wt,O2,R124,1000.0,22936.124933076855,124.0,0.8892674342309294
csv\20191031,nmccarty3,wt,O2,R1740,1000.0,16109.223088131415,1740.0,0.4937755949367894
csv\20191031,nmccarty3,wt,O2,R22,1000.0,23543.083102766977,22.0,0.9244293580958637
csv\20191031,nmccarty3,wt,O2,R260,1000.0,21997.04326718361,260.0,0.8348651381782178
csv\20191031,nmccarty3,wt,O2,R60,1000.0,23282.311560262046,60.0,0.9093225029918601
csv\20191031,nmccarty3,wt,O2,delta,5000.0,19613.870567650014,0.0,1.0
csv\20191031,nmccarty3,wt,O2,R1220,5000.0,17991.037002471632,1220.0,0.8514667971182629
csv\20191031,nmccarty3,wt,O2,R124,5000.0,20819.855314617747,124.0,1.1103802515163956
csv\20191031,nmccarty3,wt,O2,R1740,5000.0,15725.61361514231,1740.0,0.6441192299842106
csv\20191031,nmccarty3,wt,O2,R22,5000.0,19902.63875032849,22.0,1.0264301059479615
csv\20191031,nmccarty3,wt,O2,R260,5000.0,19795.248371570913,260.0,1.016600979130639
csv\20191031,nmccarty3,wt,O2,R60,5000.0,20514.52045675095,60.0,1.0824338463128464
