date,username,phenotype,operator,strain,IPTGuM,mean_FITC_H,repressors,fold_change
csv\20191031,nmccarty3,wt,O2,delta,0.0,23027.554460060874,0.0,1.0
csv\20191031,nmccarty3,wt,O2,R1220,0.0,9054.522336403816,1220.0,0.041022856752969954
csv\20191031,nmccarty3,wt,O2,R124,0.0,10337.277248796341,124.0,0.12905905608937604
csv\20191031,nmccarty3,wt,O2,R1740,0.0,9217.380850687621,1740.0,0.052199929230812674
csv\20191031,nmccarty3,wt,O2,R22,0.0,12427.842993281492,22.0,0.27253577235786824
csv\20191031,nmccarty3,wt,O2,R260,0.0,9300.38292039137,260.0,0.05789640849055259
csv\20191031,nmccarty3,wt,O2,R60,0.0,10754.177801176693,60.0,0.15767117815434573
csv\20191031,nmccarty3,wt,O2,delta,0.1,25502.917329005253,0.0,1.0
csv\20191031,nmccarty3,wt,O2,R1220,0.1,9881.35893325694,1220.0,0.09566131190753642
csv\20191031,nmccarty3,wt,O2,R124,0.1,11007.021614008414,124.0,0.16082640530964504
csv\20191031,nmccarty3,wt,O2,R1740,0.1,9306.020416947007,1740.0,0.06235471944936021
csv\20191031,nmccarty3,wt,O2,R22,0.1,15191.43604136778,22.0,0.40306394383225913
csv\20191031,nmccarty3,wt,O2,R260,0.1,10369.484126296087,260.0,0.12391908782943455
csv\20191031,nmccarty3,wt,O2,R60,0.1,11480.658544764497,60.0,0.18824544953948802
csv\20191031,nmccarty3,wt,O2,delta,5.0,13103.295358012814,0.0,1.0
csv\20191031,nmccarty3,wt,O2,R1220,5.0,10854.153555248471,1220.0,0.591720124912028
csv\20191031,nmccarty3,wt,O2,R124,5.0,7723.3460475434185,124.0,0.023394154268800326
csv\20191031,nmccarty3,wt,O2,R1740,5.0,9355.18406411762,1740.0,0.3196167493723453
csv\20191031,nmccarty3,wt,O2,R22,5.0,12918.480214577896,22.0,0.9664510687662141
csv\20191031,nmccarty3,wt,O2,R260,5.0,10597.040091056653,260.0,0.5450470992652452
csv\20191031,nmccarty3,wt,O2,R60,5.0,10306.831121999216,60.0,0.4923663472154847
csv\20191031,nmccarty3,wt,O2,delta,10.0,25973.582794177375,0.0,1.0
